,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:18:28.601,-0.010852051,-0.0013244533999999999,-0.99134216299999989,-0.0106727246,-0.0046937682,0.0032444226,3.6926818846,14.795751954,-35.316485596,100.551
2017-06-07 09:18:28.851,-0.012374878000000001,0.00029373175000000002,-0.99099731450000006,-0.01093979975,-0.004800348,0.00324559425,3.80149078375,14.8450737,-35.26750946,100.551
2017-06-07 09:18:29.101,-0.011039734000000001,-0.00057983374999999991,-0.99053192150000002,-0.0104057025,-0.00480008125,0.00324293125,3.61403656,14.8439826975,-35.1358032225,100.55135
2017-06-07 09:18:29.351,-0.011760711750000001,-0.00039291374999999998,-0.99100112924999995,-0.0109380685,-0.00480114675,0.003778626,3.5577850345,14.8061409,-35.0797882075,100.5517
2017-06-07 09:18:29.601,-0.052288818399999992,-0.0077392577999999988,-0.99067382800000003,-0.0114598482,-0.0036762278,-0.10762276,3.5878723142,14.824993896,-34.955926514,100.5517
2017-06-07 09:18:29.851,0.00044250475000000202,-0.01224899325,-0.99223327649999993,-0.018745192,-0.006508566,-1.16647767375,1.6459121705,15.6204299925,-34.6918640125,100.5517
2017-06-07 09:18:30.101,-0.064800262750000004,-0.020645141499999999,-0.98988342274999996,-0.01407640425,-0.00474868275,-0.38692508225,-3.0781173705,17.2630729675,-34.43862152,100.5523
2017-06-07 09:18:30.351,-0.011737823249999998,-0.0030899047499999997,-0.99134826674999998,-0.0106709535,-0.0045348975,0.003777694,-3.41560363775,17.16739273,-34.2887344375,100.5525
2017-06-07 09:18:30.601,-0.010665893749999999,-0.0017242432500000002,-0.99112701424999994,-0.012006196,-0.00453556325,0.003784352,-3.5466690065,17.4103622425,-34.1734924325,100.5525
2017-06-07 09:18:30.851,-0.010986328,-0.0016601561999999997,-0.98981628420000001,-0.0130239762,-0.0040556214,0.0028306738,-3.7153198242,17.40933838,-33.981829832,100.5525
2017-06-07 09:18:31.101,0.04116058375,-0.15179061875000002,-0.98933410649999998,-0.00986634625,-0.00453609575,0.00483976275,-3.9026260375,17.8958587675,-34.0739974975,100.553
